0.2	-0.01	-0.05	1
-0.09	0.19	0.81	2
-0.03	0.12	0.54	3
0.14	-0.04	0.01	4
0.05	0.01	0.11	5
0.15	-0.08	0.03	6
0.71	0.25	-0.07	7
0	0.14	0.12	8
-0.06	0.18	0.75	9
0.03	0.01	0.26	10
0.03	-0.03	0.18	11
0.44	-0.02	-0.27	12
0.5	0.06	-0.1	13
0.24	-0.09	-0.13	14
0.06	0.04	0.13	15
0.18	0.02	0.06	16
0	0.03	0.03	17
0.05	0.02	-0.04	18
0.06	0.03	-0.1	19
-0.07	-0.02	0.23	20
-0.23	-0.19	0.11	21
0.11	0.01	0.01	22
0.22	0.03	-0.03	23
0.37	0.29	-0.09	24
-0.04	0.06	0.27	25
-0.1	0.17	0.43	26
-0.06	0.01	0.09	27
0.1	-0.02	-0.32	28
0.21	0.09	-0.03	29
0.03	0.03	-0.03	30
-0.09	0.02	0.19	31
-0.02	0.15	0.17	32
0.02	0.08	0.13	33
-0.01	0.04	0.13	34
0.21	0.06	-0.08	35
-0.06	0.08	0.12	36
0.03	0.01	-0.01	37
-0.63	-0.11	0.13	38
-0.01	-0.05	0.1	39
0	0.13	0.32	40
-0.03	0.08	0.24	41
0.14	-0.01	-0.01	42
-0.02	0.03	0.22	43
0.01	0.04	0.05	44
-0.01	0	0.04	45
0.06	0.05	0.03	46
0.15	-0.01	-0.01	47
0.07	-0.01	0.02	48
-0.02	-0.02	0.06	49
0.02	-0.02	0.04	50
0	0.05	0.1	51
0.04	-0.01	0.07	52
0.01	0.12	0.16	53
0.17	0.03	-0.16	54
0.09	-0.05	-0.08	55
0.07	-0.03	-0.14	56
-0.13	0.14	0.73	57
-0.01	0.01	0.1	58
0.08	0.04	-0.08	59
0.03	0.01	-0.04	60
0.13	0	-0.14	61
0.11	-0.02	-0.05	62
0.02	0.01	0.05	63
0.12	-0.01	-0.02	64
-0.01	0.09	0.09	65
0.08	0	-0.03	66
0.06	0.04	0.01	67
-0.01	0.05	0.2	68
-0.07	0.12	0.33	69
0.03	0.03	-0.07	70
-0.02	0.07	0.17	71
0.19	-0.12	-0.31	72
-0.16	0.27	0.99	73
-0.04	0.1	0.39	74
0.02	0.03	0	75
0.09	-0.04	0.03	76
0.14	-0.08	0.04	77
0	0.02	0.03	78
-0.07	0.15	0.62	79
-0.22	0.34	1.3	80
0	0.13	0.08	81
-0.05	0.01	0.11	82
-0.66	-0.13	0.3	83
0.38	0.06	-0.16	84
0	-0.01	0.06	85
0.33	0.25	-0.13	86
0.18	0.26	-0.02	87
0.03	0.06	0.05	88
0.13	-0.11	-0.58	89
0.25	-0.05	-0.41	90
0.07	0.03	-0.05	91
-0.08	0.09	0.32	92
-0.03	0.12	0.14	93
0.08	-0.03	0.04	94
0.05	0.05	0.01	95
-0.01	0.11	0.2	96
-0.03	0.25	0.31	97
0.17	0.07	-0.18	98
-0.01	0.07	0.07	99
0.67	0.16	-0.16	100
-0.04	0.07	0.33	101
0.07	-0.02	0.1	102
0.13	0.13	-0.14	103
0.03	0.16	0.02	104
0.24	-0.01	-0.28	105
-0.08	0.08	0.25	106
-0.14	0.11	0.07	107
-0.11	0.12	0.74	108
0.17	0.02	-0.08	109
-0.01	0.01	0.08	110
0.09	-0.04	-0.35	111
-0.14	0.16	0.52	112
-0.02	0.04	0.08	113
-0.2	0.21	0.46	114
-0.03	-0.03	0.14	115
-0.2	0.05	0.34	116
0.11	0.02	-0.14	117
-0.1	0.09	0.41	118
-0.13	0.13	0.45	119
-0.18	0.13	0.36	120
-0.05	0.09	0.14	121
0.63	0.22	-0.2	122
-0.03	0.11	0.46	123
-0.01	0.01	0.21	124
0.15	0.03	-0.23	125
0.1	-0.02	-0.04	126
0.14	0	-0.18	127
0.01	0.05	0.03	128
0.2	0.03	-0.13	129
0.19	-0.01	-0.05	130
0.31	0.06	-0.05	131
-0.13	0.01	0.09	132
0.06	0.01	-0.12	133
0	0.08	0.06	134
0.67	-0.01	-0.2	135
-0.14	0	0.33	136
